
Year	Winning team	Manager	League	Games	Losing team	Manager	League	Ref.
2003	Florida Marlins[W][X]	Jack McKeon	NL	4–2	New York Yankees	Joe Torre	AL	[107]
2004	Boston Red Sox[W]	Terry Francona	AL	4–0	St. Louis Cardinals	Tony La Russa	NL	[108]
2005	Chicago White Sox	Ozzie Guillén	AL	4–0	Houston Astros[W][X]	Phil Garner	NL	[109]
2006	St. Louis Cardinals	Tony La Russa	NL	4–1	Detroit Tigers[W]	Jim Leyland	AL	[110]
2007	Boston Red Sox	Terry Francona	AL	4–0	Colorado Rockies[W][X]	Clint Hurdle	NL	[111]
2008	Philadelphia Phillies	Charlie Manuel	NL	4–1	Tampa Bay Rays[X]	Joe Maddon	AL	[112]
2009	New York Yankees	Joe Girardi	AL	4–2	Philadelphia Phillies	Charlie Manuel	NL	[113]
2010	San Francisco Giants	Bruce Bochy	NL	4–1	Texas Rangers[X]	Ron Washington	AL	[114]
2011	St. Louis Cardinals[W]	Tony La Russa	NL	4–3	Texas Rangers[X]	Ron Washington	AL	[115]
2012	San Francisco Giants	Bruce Bochy	NL	4–0	Detroit Tigers	Jim Leyland	AL	[116]
2013	Boston Red Sox	John Farrell	AL	4–2	St. Louis Cardinals	Mike Matheny	NL	[117]
2014
